name,sub_name,event_count,total_count,non_event_count,event_rate,non_event_rate,woe,iv
grade,A,2955,74867,71912,0.05662438201708074,0.17365895594972783,1.1206417807553763,0.13115383334182837
grade,B,11008,136929,125921,0.21093779940576135,0.304084289021939,0.3657401768572619,0.034067413585853926
grade,C,14743,125293,110550,0.2825087188080614,0.26696514601516314,-0.0565910964446079,0.0008796278270166883
grade,D,12132,76888,64756,0.23247614302241068,0.15637806418234196,-0.39650895218932797,0.030173569504496518
grade,E,7139,35757,28618,0.13679914152959033,0.06910907778075023,-0.6828204761952408,0.0462201615626692
grade,F,3267,13229,9962,0.06260299697116846,0.0240570491596839,-0.9563595004956734,0.03686378339512367
grade,G,942,3322,2380,0.018050818226764825,0.005747417887979088,-1.1443217454585433,0.014079048550754529
home_ownership,MORTGAGE,23247,235875,212628,0.44546430076178545,0.5134714162542932,0.1420769552207183,0.009662243902519236
home_ownership,OTHERS,46,233,187,0.0008814624611795987,0.0004515828340554998,-0.6677454459227901,0.0002870501633071041
home_ownership,OWN,4643,41704,37061,0.08897022189688862,0.08949792199428278,0.005913612481388639,3.1206138823800713e-06
home_ownership,RENT,24250,188473,164223,0.4646840148609841,0.3965790789149537,-0.15848180350174393,0.010793393076097646
verification_status,Not Verified,14205,148237,134032,0.27219944045774347,0.3236713925889131,0.17319316191048548,0.008914590139302417
verification_status,Source Verified,16090,149993,133903,0.30832023913869006,0.3233598728798588,0.04762672939750659,0.000716288566428253
verification_status,Verified,21891,168055,146164,0.41948032038440425,0.3529687345288132,-0.1726366812518775,0.011482339446908553
purpose,car,488,5397,4909,0.009351166979470525,0.011854653114323254,0.23719673092907792,0.00059381872711334
purpose,credit_card,9200,104157,94957,0.17629249223591975,0.22930989932303794,0.26292854605081256,0.013939789760800032
purpose,debt_consolidation,31836,274195,242359,0.61004867204595,0.5852682571061865,-0.04146837353731445,0.0010276035031317634
purpose,educational,88,422,334,0.001686276012691406,0.0008065704094895024,-0.7368404350070998,0.000648202659341474
purpose,home_improvement,2672,26537,23865,0.051201471658084516,0.057631146175050815,0.11829269989029774,0.0007605835580277896
purpose,house,322,2269,1947,0.006170237228257191,0.0047017742134013805,-0.2717467482808638,0.0003990500492577804
purpose,major_purchase,962,9828,8866,0.01843406277510378,0.021410339073454875,0.14966620805197323,0.0004454479876891715
purpose,medical,624,4602,3978,0.011957229908175425,0.009606398469907905,-0.21888626097472944,0.0005145647037042231
purpose,moving,465,2994,2529,0.008910435748880726,0.0061072352263441656,-0.3776974697409329,0.0010587617445385199
purpose,other,3339,23690,20351,0.0639826773451887,0.049145252705152284,-0.26382740767417384,0.003914519279341719
purpose,renewable_energy,54,351,297,0.001034760280515181,0.0007172197952646173,-0.36611536283959445,0.00011625644997377099
purpose,small_business,1546,7013,5467,0.029624803586601293,0.013202156972093142,-0.8081897588239775,0.013272614806630754
purpose,vacation,305,2487,2182,0.005844479362169078,0.005269271357802677,-0.10358675163654682,5.958392868765613e-05
purpose,wedding,285,2343,2058,0.005461234813830122,0.004969826056076035,-0.09427197781258274,4.632607550790209e-05
initial_list_status,f,37122,303005,265883,0.7113402061719362,0.6420759287014891,-0.10244408770380817,0.007095715715923382
initial_list_status,w,15064,163280,148216,0.2886597938089016,0.35792407129609605,0.21507139152469837,0.014896764542123745
